Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_40,SMA_120,Close_10_%_D,10_40_%_D,40_120_%_D,RSI,earningsGrowth,revenueGrowth,profitMargins,grossMargins,returnOnEquity,debtToEquity,priceToBook,forwardPE,longName,sector,longBusinessSummary
2022-06-27,26.112755663672864,27.358016831557403,26.112755663672864,27.169340133666992,284965,0.0,0.0,,,,,,,,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-06-28,27.16934010524789,27.546693500634,26.678783930083767,26.98066520690918,324105,0.0,0.0,,,,,,,0.0,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-06-29,26.56557724862978,26.867458522012384,25.92407864301458,26.414636611938477,176325,0.0,0.0,,,,,,,0.0,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-06-30,26.22595729951374,26.24482532705604,25.05616658220326,25.282577514648438,462910,0.0,0.0,,,,,,,0.0,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-01,25.263714346726672,26.09388786625362,25.13163993728616,26.07501983642578,277715,0.0,0.0,,,,,,,31.91781046538074,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-04,26.131624041650998,26.395769262993248,24.150525884812275,24.2825984954834,487725,0.0,0.0,,,,,,,17.95675818483879,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-05,24.37693629473543,25.433520754932978,24.37693629473543,25.13163948059082,382145,0.0,0.0,,,,,,,32.92354003285887,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-06,25.58446263718247,26.301429748535156,25.244845311228037,26.301429748535156,287120,0.0,0.0,,,,,,,47.21198534150772,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-07,26.414637654298105,26.86745958224102,25.829741314522714,26.697650909423828,624815,0.0,0.0,,,,,,,51.017961337809965,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-08,26.980666217106194,26.980666217106194,25.414655685424805,25.414655685424805,432740,0.0,0.0,25.975021362304688,,,-2.157325182003867,,,40.768000898617004,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-11,25.41465535884496,25.86747728521863,24.527877736847405,25.678800582885742,551125,0.0,0.0,25.825967407226564,,,-0.569840509825943,,,43.29398207072264,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-12,25.376919720800096,26.64104896913875,24.810891403739525,26.622180938720703,484305,0.0,0.0,25.790118980407716,,,3.226281968474399,,,51.28442474569963,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-13,26.641049661037734,26.7919903095934,25.961816742537234,26.28256607055664,400465,0.0,0.0,25.77691192626953,,,1.961655243007571,,,48.62791224738077,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-14,26.282566351838913,26.282566351838913,25.131641645091403,25.697669982910156,458175,0.0,0.0,25.818421173095704,,,-0.4676939359536723,,,44.36556259874363,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-15,25.697668313908956,26.99953358627455,25.188244102506083,26.905195236206055,455795,0.0,0.0,25.90143871307373,,,3.875292543597893,,,53.439281326923734,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-18,26.58444759482568,27.64103214374361,26.565579563756383,27.35801887512207,387450,0.0,0.0,26.208980751037597,,,4.384138914059005,,,56.31652312911688,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-19,27.35801800563195,27.754237648722178,26.999534423481,27.64103126525879,443495,0.0,0.0,26.459919929504395,,,4.463775169770581,,,58.06088656171214,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-20,27.86744491786622,27.86744491786622,26.980667250508525,27.35801887512207,524965,0.0,0.0,26.565578842163085,,,2.982957900775265,,,55.66700681812615,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-21,27.84857478231231,27.84857478231231,27.018399471543418,27.490089416503906,711765,0.0,0.0,26.644822692871095,,,3.1723488400580155,,,56.566968466400795,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-22,27.4900920637705,29.282515466712297,27.358019442256502,29.18817710876465,355585,0.0,0.0,27.022174835205078,,,8.015647470157196,,,66.09665023103832,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-25,29.188175305691164,29.244777597221393,28.01838441772484,28.225927352905273,239470,0.0,0.0,27.276887512207033,,,3.4792820121926438,,,58.291585621956564,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-26,28.225924572432803,28.225924572432803,27.622162057307257,27.67876434326172,159630,0.0,0.0,27.38254585266113,,,1.0817784883643309,,,54.360655355076915,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-27,27.697635184427412,27.92404615059181,26.92406393352712,27.07500457763672,242670,0.0,0.0,27.461789703369142,,,-1.4084483564629828,,,50.32765476274227,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-28,27.07500265730311,27.71649944959261,26.773119591140993,27.395751953125,430175,0.0,0.0,27.631597900390624,,,-0.853537128456438,,,52.350155622943355,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-07-29,27.395752798580183,28.603277903076716,27.37688476898384,28.45233726501465,184625,0.0,0.0,27.786312103271484,,,2.3969541523459243,,,58.36420575919315,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-01,28.225928383056058,28.508941650390625,27.810840698191484,28.508941650390625,238210,0.0,0.0,27.90140438079834,,,2.177443333319775,,,58.66519546286004,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-02,28.50893889082396,28.50893889082396,27.791969977041433,27.96177864074707,243230,0.0,0.0,27.93347911834717,,,0.10131041063665441,,,54.55932618862676,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-03,27.56555948380528,28.7164840905775,27.56555948380528,28.395734786987305,178650,0.0,0.0,28.03725070953369,,,1.278599250573867,,,57.12244315086141,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-04,29.056100564458212,29.056100564458212,27.96178001068994,27.980648040771484,140225,0.0,0.0,28.08630657196045,,,-0.37619233030250937,,,53.98569217200811,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-05,28.3957350464923,28.527807655287848,27.37688483735182,27.490089416503906,142275,0.0,0.0,27.916497802734376,,,-1.5274422645834327,,,50.45914355726214,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-08,27.49009049123577,28.584411062378486,27.49009049123577,28.41460418701172,167625,0.0,0.0,27.93536548614502,,,1.7155268689947316,,,56.2584138473302,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-09,28.452337450586867,28.54667579982954,27.65989819591539,27.999515533447266,164495,0.0,0.0,27.967440605163574,,,0.11468667704176504,,,53.244726909597304,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-10,29.03723420533122,29.848539702351943,27.6032963138534,29.773069381713867,334820,0.0,0.0,28.23724708557129,,,5.438994429904442,,,62.49044699904947,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-11,30.112685990355867,30.16928827961632,29.320246743292216,29.735334396362305,89255,0.0,0.0,28.47120532989502,,,4.440026517387857,,,62.20857955437749,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-12,29.4334528697627,31.622093895585518,29.4334528697627,31.471153259277344,817920,0.0,0.0,28.773086929321288,,,9.377048547427787,,,69.11072235776872,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-15,31.961711633492822,32.037180153252514,31.169272383118333,31.263608932495117,529180,0.0,0.0,29.048553657531738,,,7.625354780405935,,,67.52278910253042,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-16,30.99946463810677,31.301345923549697,30.188157333963105,30.33909797668457,242350,0.0,0.0,29.286285591125488,,,3.594898992168923,,,60.81911647432678,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-17,30.357966880680063,30.603244082646647,29.791938554504945,30.05608558654785,198150,0.0,0.0,29.452320671081544,,,2.0499739976657527,,,58.89161826500924,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-18,30.056084349829028,30.73531903303245,29.942877969510334,30.225893020629883,290675,0.0,0.0,29.676845169067384,,,1.8500883380110071,,,59.716547127629575,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-19,30.225892052905287,30.225892052905287,29.112703512721644,29.1693058013916,201620,0.0,0.0,29.84476680755615,27.689615201950073,,-2.2632477262095265,7.783248665204637,,52.63836337524546,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-22,29.1504383051761,29.640996280898957,28.622146069434596,28.641014099121094,173410,0.0,0.0,29.86740779876709,27.726407051086426,,-4.106127012792255,7.721883126565335,,49.48035641083091,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-23,28.641013823590576,29.093835735584225,28.074985533921346,28.263660430908203,174175,0.0,0.0,29.893822288513185,27.7584819316864,,-5.453173039806883,7.692568931117541,,47.29758074752572,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
2022-08-24,27.924045031797416,28.73535051154244,27.584427696480596,28.45233726501465,238835,0.0,0.0,29.761749076843262,27.809424448013306,,-4.399646702375529,7.020370495188113,,48.52041063675165,0.116,-0.064,0.22589001,0.54671,0.03238,95.467,0.76078117,3.2777238,Atrium Ljungberg AB (publ),Real Estate,"Atrium Ljungberg AB (publ) owns, develops, and manages real estate properties in Sweden. It focuses on developing urban environments for offices and retail, residential units, culture, healthcare, restaurants, service, and education facilities, as well as tenant-owned dwellings. The company's property portfolio and project portfolio are located in the regions of Stockholm, Uppsala, Gothenburg, and Malmö. Atrium Ljungberg AB (publ) was founded in 1946 and is based in Nacka, Sweden."
